id,price,currency,rooms,area,location,city
6464118,115000,AZN,3,71.0,Masazır,Bakı
6400958,272000,AZN,3,125.0,İnşaatçılar,Bakı
6442290,295000,AZN,10,250.0,Zabrat,Bakı
6314571,365660,AZN,3,114.9,Nardaran,Bakı
6091147,258000,AZN,3,90.0,,Sumqayıt
6458356,19000,AZN,,4.0,Türkan,Bakı
6473078,635000,AZN,5,350.0,Mərdəkan,Bakı
6458345,115000,AZN,2,58.0,Zığ,Bakı
6330330,221995,AZN,1,53.3,Nardaran,Bakı
6456260,2000000,AZN,3,266.0,Sea Breeze,Bakı
6456270,350000,AZN,2,76.0,Sea Breeze,Bakı
6456274,350000,AZN,2,69.0,Sea Breeze,Bakı
6456290,207000,AZN,2,64.0,Sea Breeze,Bakı
6393075,565000,AZN,4,170.0,Nəsimi,Bakı
6052975,455000,AZN,6,350.0,Mərdəkan,Bakı
6373307,1250000,AZN,6,440.0,Şah İsmayıl Xətai,Bakı
6475720,237000,AZN,2,95.0,Nardaran,Bakı
6186818,615000,AZN,4,207.0,Nəsimi,Bakı
6220848,174420,AZN,1,36.0,Nardaran,Bakı
6477783,125000,AZN,2,52.0,Badamdar,Bakı
6399911,490000,AZN,3,108.0,Nizami,Bakı
6296775,679791,AZN,3,160.7,Nardaran,Bakı
6193083,550000,AZN,6,160.0,Nəriman Nərimanov,Bakı
6174392,300,AZN,5,340.0,Novxanı,Bakı
6222148,353658,AZN,1,48.4,Nardaran,Bakı
6411297,199900,AZN,2,56.2,Sea Breeze,Bakı
6428669,260000,AZN,5,120.0,Əhmədli,Bakı
5620441,220000,AZN,,1300.0,Qızıldaş,Bakı
6172913,520000,AZN,5,250.0,Mərdəkan,Bakı
6027878,384846,AZN,2,53.9,,Qusar
6470026,102500,AZN,2,63.0,Masazır,Bakı
6411390,198000,AZN,3,70.0,Bakıxanov,Bakı
6027981,239292,AZN,2,61.2,Nardaran,Bakı
6440600,728475,AZN,3,132.4,Elmlər Akademiyası,Bakı
6246806,155000,AZN,2,67.0,Həzi Aslanov,Bakı
6438371,48000,AZN,3,75.0,Kürdəxanı,Bakı
6150257,535000,AZN,5,350.0,Buzovna,Bakı
5971930,287491,AZN,2,72.3,Nardaran,Bakı
6270604,635000,AZN,3,162.0,Ağ şəhər,Bakı
6373779,680000,AZN,3,108.0,Ağ şəhər,Bakı
6406676,250000,AZN,3,100.0,Bayıl,Bakı
6373818,4000,AZN,3,108.0,Ağ şəhər,Bakı
6450934,210000,AZN,3,67.0,İnşaatçılar,Bakı
6464402,2800,AZN,,45.0,Sahil,Bakı
4550787,792000,AZN,,264.0,İçəri Şəhər,Bakı
6452312,185000,AZN,3,63.0,Əhmədli,Bakı
6163070,145000,AZN,3,85.0,Biləcəri,Bakı
6431725,600000,AZN,,15.0,Mərdəkan,Bakı
6399579,41500,AZN,2,80.0,,Xırdalan
5676019,472464,AZN,1,57.9,Nardaran,Bakı
6376336,1200,AZN,,150.0,Bakıxanov,Bakı
5818478,133000,AZN,4,136.0,Mehdiabad,Bakı
6461300,253000,AZN,2,103.8,Sea Breeze,Bakı
5659944,230233,AZN,1,57.6,Nardaran,Bakı
6461146,468000,AZN,4,156.0,8 Noyabr,Bakı
6480498,1062000,AZN,,90.0,Nərimanov,Bakı
6450510,450000,AZN,2,81.8,Ağ şəhər,Bakı
5662936,285447,AZN,1,57.9,Nardaran,Bakı
6436011,380000,AZN,1,67.1,Ağ şəhər,Bakı
6247023,135000,AZN,2,73.0,Avtovağzal,Bakı
5444297,358658,AZN,3,84.4,Sea Breeze,Bakı
6271339,280000,AZN,4,140.0,Mərdəkan,Bakı
5767279,150000,AZN,,100.0,Məmmədli,Bakı
6466776,122000,AZN,3,92.7,,Xırdalan
6472980,105000,AZN,,6.0,Bilgəh,Bakı
6426668,450000,AZN,3,130.0,Nəriman Nərimanov,Bakı
6211662,270000,AZN,4,140.0,Şüvəlan,Bakı
6469965,395000,AZN,5,200.0,Mərdəkan,Bakı
5591807,250614,AZN,2,81.9,Sea Breeze,Bakı
6406713,1000,AZN,2,52.0,İçəri Şəhər,Bakı
