id,price,currency,rooms,area,location,city,price_per_m2
6404780,139000,AZN,2,45.0,Xalqlar Dostluğu,Bakı,3088.89
6470582,132000,AZN,2,45.0,28 May,Bakı,2933.33
6445114,66300,AZN,1,40.0,Masazır,Bakı,1657.5
6192602,299000,AZN,5,400.0,Badamdar,Bakı,747.5
6404700,270000,AZN,5,89.7,İçəri Şəhər,Bakı,3010.03
6480344,950000,AZN,5,800.0,28 May,Bakı,1187.5
6467237,177000,AZN,4,260.0,Masazır,Bakı,680.77
6475106,72000,AZN,2,40.0,Yeni Günəşli,Bakı,1800.0
6472751,175000,AZN,3,65.0,Əhmədli,Bakı,2692.31
6230988,189000,AZN,3,74.0,Nəsimi,Bakı,2554.05
6274756,67500,AZN,3,110.0,Binə,Bakı,613.64
6351930,149000,AZN,2,50.0,Bayıl,Bakı,2980.0
6479417,249000,AZN,3,83.0,Həzi Aslanov,Bakı,3000.0
