id,price,currency,rooms,area,floor,hasRepair,location,city
6344624,160000,AZN,,29.0,,,,Qəbələ
6457609,155000,AZN,,5.5,,,Fatmayı,Bakı
6417430,1680000,AZN,,600.0,,False,Sabunçu,Bakı
6020217,495000,AZN,3,93.0,3,True,Sea Breeze,Bakı
6476374,187000,AZN,3,80.0,3,True,Bakıxanov,Bakı
6411794,565000,AZN,3,120.0,7,True,Nizami,Bakı
6279253,499000,AZN,3,200.0,,True,Mərdəkan,Bakı
6414486,27000,AZN,,5.0,,,Mərdəkan,Bakı
5609613,700,AZN,,70.0,,,Dərnəgül,Bakı
6422602,650000,AZN,3,400.0,18,True,Nəriman Nərimanov,Bakı
6485805,1000,AZN,2,70.0,,True,Nərimanov,Bakı
5790039,1500,AZN,3,83.2,4,True,Səbail,Bakı
6089494,300000,AZN,,2000.0,,False,Mehdiabad,Bakı
5979204,690000,AZN,6,230.0,,True,Buzovna,Bakı
5768893,3000000,AZN,,5000.0,,False,Mehdiabad,Bakı
6000221,1600,AZN,3,167.0,20,True,Nizami,Bakı
6337926,920000,AZN,,36.5,,,Mərdəkan,Bakı
6355164,6000,AZN,,200.0,,True,Şah İsmayıl Xətai,Bakı
6431881,450000,AZN,,18.0,,,Mərdəkan,Bakı
6480790,195000,AZN,3,80.0,5,True,Həzi Aslanov,Bakı
6483546,258000,AZN,3,140.0,5,False,Əhmədli,Bakı
6248620,61000,AZN,,7.4,,,Türkan,Bakı
6475819,1208000,AZN,,302.0,,False,Nərimanov,Bakı
6326061,12800,AZN,,2.5,,,Türkan,Bakı
6441937,4000,AZN,,250.0,,True,Nəriman Nərimanov,Bakı
6475717,4000,AZN,,250.0,,True,Nəriman Nərimanov,Bakı
6474700,695000,AZN,4,152.0,9,True,Nəsimi,Bakı
6473184,450000,AZN,,14.0,,,Saray,Bakı
6467203,400,AZN,2,60.0,9,True,,Xırdalan
5932037,2500,AZN,4,205.0,4,True,Elmlər Akademiyası,Bakı
6486689,450000,AZN,2,100.0,8,True,Nəriman Nərimanov,Bakı
6424051,20000,AZN,,557.0,,False,Ağ şəhər,Bakı
6434895,415000,AZN,4,156.0,15,True,Binəqədi,Bakı
6422488,450000,AZN,2,100.0,8,True,Nəriman Nərimanov,Bakı
6419656,410000,AZN,3,152.0,4,True,Badamdar,Bakı
6437293,299000,AZN,,90.0,,True,Masazır,Bakı
6454101,285000,AZN,2,110.0,17,True,Nəsimi,Bakı
6409676,79500,AZN,2,87.0,13,False,Masazır,Bakı
5902710,190000,AZN,3,95.0,3,True,Lökbatan,Bakı
6442475,850,AZN,2,63.0,7,True,Şah İsmayıl Xətai,Bakı
6360595,115500,AZN,2,55.0,13,True,,Xırdalan
6485065,2300000,AZN,,370.0,,True,Səbail,Bakı
6458506,149000,AZN,4,120.0,,True,Masazır,Bakı
6375171,256000,AZN,2,72.1,6,True,7-ci mikrorayon,Bakı
6374912,2200000,AZN,,3200.0,,True,Xəzər,Bakı
