id,price,currency,rooms,area,floor,hasRepair,location,city,price_per_m2
6431697,60000,AZN,3,80.0,,True,Ramana,Bakı,750.0
6459712,1150000,AZN,5,220.0,14.0,False,Bayıl,Bakı,5227.27
6479213,750000,AZN,3,170.0,6.0,True,Xətai,Bakı,4411.76
6049260,467000,AZN,2,115.0,1.0,False,Sea Breeze,Bakı,4060.87
6331211,226754,AZN,1,38.1,6.0,True,Nardaran,Bakı,5951.55
6405366,395000,AZN,3,108.8,15.0,True,7-ci mikrorayon,Bakı,3630.51
6297183,346432,AZN,1,46.4,3.0,True,Nardaran,Bakı,7466.21
6380843,170000,AZN,3,90.0,6.0,True,Biləcəri,Bakı,1888.89
6260264,175000,AZN,2,76.5,8.0,False,Sea Breeze,Bakı,2287.58
6471321,154860,AZN,2,60.0,10.0,False,Yeni Yasamal,Bakı,2581.0
6442177,245000,AZN,3,75.0,7.0,True,4-cü mikrorayon,Bakı,3266.67
6382752,72700,AZN,2,41.0,2.0,True,Masazır,Bakı,1773.17
6382661,84790,AZN,2,48.7,3.0,True,Masazır,Bakı,1741.07
6315276,175000,AZN,2,55.0,13.0,True,Əhmədli,Bakı,3181.82
6315231,220000,AZN,2,74.0,16.0,True,Nərimanov,Bakı,2972.97
6483315,878000,AZN,5,231.0,3.0,False,Ağ şəhər,Bakı,3800.87
6338336,359000,AZN,2,117.2,7.0,True,Koroğlu,Bakı,3063.14
6410378,314000,AZN,3,96.4,11.0,False,Elmlər Akademiyası,Bakı,3257.26
6459373,192100,AZN,3,113.0,2.0,False,Masazır,Bakı,1700.0
6027988,417767,AZN,3,114.3,12.0,False,Nardaran,Bakı,3655.0
6325595,200000,AZN,1,53.0,1.0,False,Sea Breeze,Bakı,3773.58
6458022,77000,AZN,3,130.0,,True,Ramana,Bakı,592.31
6481970,765000,AZN,3,94.6,3.0,True,Ağ şəhər,Bakı,8086.68
6304442,330000,AZN,2,62.0,10.0,True,Nəriman Nərimanov,Bakı,5322.58
5976844,198016,AZN,1,58.3,1.0,False,Nardaran,Bakı,3396.5
6269294,317000,AZN,2,120.0,6.0,True,Nəsimi,Bakı,2641.67
6373602,380086,AZN,2,63.9,6.0,True,Nardaran,Bakı,5948.14
6404979,231925,AZN,1,38.4,5.0,True,Nardaran,Bakı,6039.71
6434317,330000,AZN,3,110.0,7.0,True,Şah İsmayıl Xətai,Bakı,3000.0
6439934,220000,AZN,3,74.0,5.0,True,Yasamal,Bakı,2972.97
6106492,352400,AZN,3,106.8,14.0,True,20 Yanvar,Bakı,3299.63
6330831,245000,AZN,2,98.0,6.0,True,İnşaatçılar,Bakı,2500.0
6431984,514080,AZN,2,112.0,2.0,False,Nardaran,Bakı,4590.0
5721807,563652,AZN,1,61.4,7.0,False,Nardaran,Bakı,9180.0
6438033,445000,AZN,3,108.0,3.0,True,Sahil,Bakı,4120.37
6471250,257000,AZN,2,59.0,6.0,True,Bakmil,Bakı,4355.93
6422616,119000,AZN,1,45.0,2.0,False,Sea Breeze,Bakı,2644.44
6454872,158000,AZN,2,68.0,15.0,True,Yeni Yasamal,Bakı,2323.53
5660026,398081,AZN,1,69.9,5.0,False,Nardaran,Bakı,5695.01
6475769,266000,AZN,3,120.0,16.0,True,İnşaatçılar,Bakı,2216.67
5657212,338564,AZN,2,78.1,2.0,False,Nardaran,Bakı,4335.01
6448372,285000,AZN,3,140.0,18.0,True,Sabunçu,Bakı,2035.71
5444207,414596,AZN,3,87.1,11.0,True,Sea Breeze,Bakı,4760.0
6329479,159900,AZN,4,145.0,,True,Yeni Ramana,Bakı,1102.76
6449124,159900,AZN,4,145.0,,True,Yeni Ramana,Bakı,1102.76
5475997,272000,AZN,1,55.4,1.0,False,Mərdəkan,Bakı,4909.75
5510791,527000,AZN,2,107.6,2.0,False,Mərdəkan,Bakı,4897.77
5506311,306000,AZN,1,62.0,2.0,False,Mərdəkan,Bakı,4935.48
5506321,1241000,AZN,3,218.7,6.0,False,Mərdəkan,Bakı,5674.44
5510774,714000,AZN,2,148.9,1.0,False,Mərdəkan,Bakı,4795.16
6197306,221540,AZN,2,58.3,8.0,True,Azadlıq Prospekti,Bakı,3800.0
5443970,272875,AZN,2,78.3,14.0,False,Sea Breeze,Bakı,3484.99
6373636,246379,AZN,1,39.2,9.0,True,Nardaran,Bakı,6285.18
6298742,655000,AZN,5,255.0,,True,Mərdəkan,Bakı,2568.63
6231295,345000,AZN,3,112.0,13.0,False,Nəriman Nərimanov,Bakı,3080.36
6181887,525000,AZN,4,175.9,10.0,True,Koroğlu,Bakı,2984.65
6181912,532840,AZN,4,190.3,3.0,True,Koroğlu,Bakı,2800.0
6181862,404955,AZN,2,120.9,4.0,True,Koroğlu,Bakı,3349.5
6181844,411989,AZN,2,123.0,3.0,True,Koroğlu,Bakı,3349.5
6181764,615420,AZN,3,237.0,3.0,True,Koroğlu,Bakı,2596.71
6181837,382848,AZN,2,114.3,3.0,True,Koroğlu,Bakı,3349.5
6181901,510000,AZN,4,194.2,5.0,True,Koroğlu,Bakı,2626.16
6476082,140000,AZN,2,100.6,9.0,False,Lökbatan,Bakı,1391.65
6451173,171999,AZN,3,54.5,1.0,True,20 Yanvar,Bakı,3155.94
6398928,227000,AZN,3,98.7,5.0,False,Bakıxanov,Bakı,2299.9
5443767,269748,AZN,1,57.7,18.0,False,Sea Breeze,Bakı,4675.01
